# id	difficulty	code
CLK001	轻松	0128
CLK002	轻松	0265
CLK003	轻松	0426
CLK004	轻松	0475
CLK005	轻松	0489
CLK006	轻松	0536
CLK007	轻松	0542
CLK008	轻松	0631
CLK009	轻松	0675
CLK010	轻松	0827
CLK011	轻松	0935
CLK012	轻松	1048
CLK013	轻松	1408
CLK014	轻松	1469
CLK015	轻松	1753
CLK016	轻松	1890
CLK017	轻松	1934
CLK018	轻松	1938
CLK019	轻松	1954
CLK020	轻松	2180
CLK021	轻松	2390
CLK022	轻松	2396
CLK023	轻松	2451
CLK024	轻松	2456
CLK025	轻松	2509
CLK026	轻松	2517
CLK027	轻松	2576
CLK028	轻松	2578
CLK029	轻松	2687
CLK030	轻松	2765
CLK031	轻松	2796
CLK032	轻松	2857
CLK033	轻松	2940
CLK034	轻松	2948
CLK035	轻松	2963
CLK036	轻松	2968
CLK037	轻松	3019
CLK038	轻松	3085
CLK039	轻松	3164
CLK040	轻松	3407
CLK041	进阶	3456
CLK042	进阶	3459
CLK043	进阶	3485
CLK044	进阶	3497
CLK045	进阶	3657
CLK046	进阶	3729
CLK047	进阶	3761
CLK048	进阶	3916
CLK049	进阶	4017
CLK050	进阶	4071
CLK051	进阶	4103
CLK052	进阶	4367
CLK053	进阶	4526
CLK054	进阶	4790
CLK055	进阶	4816
CLK056	进阶	4835
CLK057	进阶	4839
CLK058	进阶	4856
CLK059	进阶	4913
CLK060	进阶	4920
CLK061	进阶	5074
CLK062	进阶	5091
CLK063	进阶	5170
CLK064	进阶	5340
CLK065	进阶	5369
CLK066	进阶	5617
CLK067	进阶	5693
CLK068	进阶	5748
CLK069	进阶	5761
CLK070	进阶	5812
CLK071	进阶	5837
CLK072	进阶	5849
CLK073	进阶	5876
CLK074	进阶	5920
CLK075	进阶	5928
CLK076	进阶	5972
CLK077	进阶	6019
CLK078	进阶	6039
CLK079	进阶	6057
CLK080	进阶	6138
CLK081	挑战	6239
CLK082	挑战	6251
CLK083	挑战	6401
CLK084	挑战	6429
CLK085	挑战	6594
CLK086	挑战	6597
CLK087	挑战	6784
CLK088	挑战	7031
CLK089	挑战	7152
CLK090	挑战	7160
CLK091	挑战	7324
CLK092	挑战	7419
CLK093	挑战	7451
CLK094	挑战	7492
CLK095	挑战	7493
CLK096	挑战	7568
CLK097	挑战	7921
CLK098	挑战	7956
CLK099	挑战	8034
CLK100	挑战	8049
CLK101	挑战	8061
CLK102	挑战	8165
CLK103	挑战	8310
CLK104	挑战	8329
CLK105	挑战	8427
CLK106	挑战	8643
CLK107	挑战	8651
CLK108	挑战	8716
CLK109	挑战	9035
CLK110	挑战	9172
CLK111	挑战	9206
CLK112	挑战	9280
CLK113	挑战	9436
CLK114	挑战	9478
CLK115	挑战	9514
CLK116	挑战	9648
CLK117	挑战	9687
CLK118	挑战	9780
CLK119	挑战	9860
CLK120	挑战	9867
