# id	name	target_score	moves
MAT001	草莓野餐 01	500	24
MAT002	蜂蜜茶会 02	530	24
MAT003	葡萄星夜 03	560	24
MAT004	薄荷花园 04	590	24
MAT005	云朵糖屋 05	620	24
MAT006	樱花小径 06	650	24
MAT007	草莓野餐 07	680	24
MAT008	蜂蜜茶会 08	710	24
MAT009	葡萄星夜 09	740	24
MAT010	薄荷花园 10	770	24
MAT011	云朵糖屋 11	500	24
MAT012	樱花小径 12	530	24
MAT013	草莓野餐 13	560	24
MAT014	蜂蜜茶会 14	590	24
MAT015	葡萄星夜 15	620	24
MAT016	薄荷花园 16	650	24
MAT017	云朵糖屋 17	680	24
MAT018	樱花小径 18	710	24
MAT019	草莓野餐 19	740	24
MAT020	蜂蜜茶会 20	770	24
MAT021	葡萄星夜 21	750	21
MAT022	薄荷花园 22	780	21
MAT023	云朵糖屋 23	810	21
MAT024	樱花小径 24	840	21
MAT025	草莓野餐 25	870	21
MAT026	蜂蜜茶会 26	900	21
MAT027	葡萄星夜 27	930	21
MAT028	薄荷花园 28	960	21
MAT029	云朵糖屋 29	990	21
MAT030	樱花小径 30	1020	21
MAT031	草莓野餐 31	750	21
MAT032	蜂蜜茶会 32	780	21
MAT033	葡萄星夜 33	810	21
MAT034	薄荷花园 34	840	21
MAT035	云朵糖屋 35	870	21
MAT036	樱花小径 36	900	21
MAT037	草莓野餐 37	930	21
MAT038	蜂蜜茶会 38	960	21
MAT039	葡萄星夜 39	990	21
MAT040	薄荷花园 40	1020	21
MAT041	云朵糖屋 41	1000	18
MAT042	樱花小径 42	1030	18
MAT043	草莓野餐 43	1060	18
MAT044	蜂蜜茶会 44	1090	18
MAT045	葡萄星夜 45	1120	18
MAT046	薄荷花园 46	1150	18
MAT047	云朵糖屋 47	1180	18
MAT048	樱花小径 48	1210	18
MAT049	草莓野餐 49	1240	18
MAT050	蜂蜜茶会 50	1270	18
MAT051	葡萄星夜 51	1000	18
MAT052	薄荷花园 52	1030	18
MAT053	云朵糖屋 53	1060	18
MAT054	樱花小径 54	1090	18
MAT055	草莓野餐 55	1120	18
MAT056	蜂蜜茶会 56	1150	18
MAT057	葡萄星夜 57	1180	18
MAT058	薄荷花园 58	1210	18
MAT059	云朵糖屋 59	1240	18
MAT060	樱花小径 60	1270	18
