# id	name	width	height	rows
MAZ001	星光迷宫 01	17	11	#################/#S#         #   #/# ### # ### # # #/#   # # #     # #/### # # ####### #/#   # #   # #   #/# ####### # # ###/#       # #   # #/####### # # ### #/#         #    G#/#################
MAZ002	星光迷宫 02	17	11	#################/#S#     #       #/# ### # # ### # #/#   # #   # # # #/### # ##### # # #/#   #       # # #/# ######### # ###/#   #   #   #   #/### # # ####### #/#     #        G#/#################
MAZ003	星光迷宫 03	17	11	#################/#S#         #   #/# # ####### # ###/# # #     # #   #/# # # # # # # # #/# # # # # # # # #/# # # # ### # # #/#   # # #   # # #/##### # # ##### #/#     #        G#/#################
MAZ004	星光迷宫 04	17	11	#################/#S  #   #       #/### # # ### ### #/# # # #   # # # #/# # # ### # # # #/# # #   #   # # #/# # ### ##### # #/# #   #     #   #/# ### ##### # ###/#           #  G#/#################
MAZ005	星光迷宫 05	17	11	#################/#S#       #   # #/# ### ### # # # #/#     #   # # # #/####### ### # # #/# #     #   # # #/# # ####### # # #/#   #       # # #/# ### ####### # #/#     #        G#/#################
MAZ006	星光迷宫 06	17	11	#################/#S    #   #     #/##### # # ##### #/#   #   #   #   #/# # ####### # # #/# #       # # # #/# # ##### # # ###/# #   #   # #   #/# ### ##### ### #/#   #          G#/#################
MAZ007	星光迷宫 07	17	11	#################/#S#   #   #     #/# ### # # # # # #/#   #   #   # # #/### # ####### # #/# # #   #     # #/# # ### # ##### #/# # #   # #     #/# # ##### # #####/#         #    G#/#################
MAZ008	星光迷宫 08	17	11	#################/#S  #           #/### ######### ###/# #   #     #   #/# ### # ### ### #/#   # #   #     #/# ### # # ##### #/#     # # #   # #/# ####### # # # #/#         # #  G#/#################
MAZ009	星光迷宫 09	17	11	#################/#S    #       # #/##### # # ### # #/#   # # # #   # #/# # # # # # ### #/# #   # # # #   #/# ####### # ### #/#         #     #/############### #/#              G#/#################
MAZ010	星光迷宫 10	17	11	#################/#S    # #       #/##### # # # #####/#   # #   #     #/# ### # ####### #/#   # # #     # #/### # ### ### # #/#   #   #   #   #/# ##### ### ### #/#           #  G#/#################
MAZ011	星光迷宫 11	17	11	#################/#S              #/############### #/#         #   # #/# # ##### # # # #/# # #   # # #   #/# ### # ### #####/#     #     #   #/# ########### # #/#             #G#/#################
MAZ012	星光迷宫 12	17	11	#################/#S#             #/# ######### ### #/#     #     # # #/##### # ##### # #/#   # # #     # #/### # # # ### # #/#   #   # # # # #/# ####### # # # #/#           #  G#/#################
MAZ013	星光迷宫 13	17	11	#################/#S# #       #   #/# # # ### # ### #/# #     # #   # #/# ##### # ### # #/#     # #   #   #/##### ##### ### #/#     #     #   #/# ##### ##### ###/#       #      G#/#################
MAZ014	星光迷宫 14	17	11	#################/#S    #   #     #/##### # # ### # #/# #   # #     # #/# # ### #########/# # #           #/# # # ######### #/# # #   #       #/# # ##### ##### #/#         #    G#/#################
MAZ015	星光迷宫 15	17	11	#################/#S  #     #     #/### # # # ### # #/# # # # #     # #/# # # # ####### #/# # # #     #   #/# # ####### # ###/# #         # # #/# ########### # #/#              G#/#################
