# id	name	width	height	rows
SKB001	硬核 01·17推	10	10	##########/# @ .    #/## $.$.  #/#####$##.#/#      $ #/##    ## #/##########/##########/##########/##########
SKB002	硬核 02·17推	10	10	##########/#     .  #/#        #/# ### . ##/# #### $##/#  ###  ##/# ### .###/# $@$ $ ##/#  # . ###/##########
SKB003	硬核 03·17推	10	10	##########/###### . #/###### $ #/###### $.#/######   #/######@$ #/######   #/## # # .$#/# .      #/##########
SKB004	硬核 04·18推	10	10	##########/#   ######/#.$#######/#  #######/#  #######/#. #######/# $#######/#$. ######/#@$ .#####/##########
SKB005	硬核 05·18推	10	10	##########/#    #####/#.. $ ####/#.##$ ####/# ##  ####/#  ## ####/#    $@###/#.  $#####/#     ####/##########
SKB006	硬核 06·18推	10	10	##########/#####    #/###@$    #/###$$ ## #/##  #### #/## . ###.#/# .$#### #/#   .### #/#        #/##########
SKB007	硬核 07·18推	10	10	##########/#  # #####/#        #/#  # # $ #/# #####  #/#  #  ## #/#  . $@$ #/#.$  .# ##/# .#######/##########
SKB008	硬核 08·18推	10	10	##########/##########/###### ###/##       #/### $.   #/#### ##  #/# $ . # .#/# #$$ ## #/#     @ .#/##########
SKB009	硬核 09·19推	10	10	##########/#### .   #/###     .#/###. $####/###$  ####/### .$####/####  ####/###@$#####/###  #####/##########
SKB010	硬核 10·19推	10	10	##########/#     ####/# .$$ ####/#.  ######/# . ######/# $ ######/##.$######/###@######/##########/##########
SKB011	硬核 11·19推	10	10	##########/#  $ . .##/#     # ##/# ####  ##/#@####$$ #/# ####  ##/#  ### $##/# ####   #/#.  .    #/##########
SKB012	硬核 12·19推	10	10	##########/#.  $.####/#    $@###/# ###$ ###/#. #  ####/#  # $ ###/# ##  ####/#  #   ###/# .    ###/##########
SKB013	硬核 13·19推	10	10	##########/######   #/#######  #/###### $.#/######   #/## @##.  #/#.$ $ . ##/#   #$   #/####     #/##########
SKB014	硬核 14·20推	10	10	##########/#   . ####/#.$  #####/#.$#######/#.  ######/# $ ######/#  $@#####/#  #######/##########/##########
SKB015	硬核 15·20推	10	10	##########/# .  #####/# $ . ####/#  $ #####/#..#######/# $#######/#  $@#####/#  #######/##########/##########
SKB016	硬核 16·20推	10	10	##########/#.$  .   #/#      $ #/# ########/# .# #####/# $@$. ###/#     ####/##########/##########/##########
SKB017	硬核 17·20推	10	10	##########/##########/########@#/########$#/#######  #/## ####$ #/##.###  .#/#.. $ $  #/##       #/##########
SKB018	硬核 18·20推	10	10	##########/##    .  #/#@$ $ ...#/#    ##  #/#######  #/#######$ #/#######  #/#######$ #/#######  #/##########
SKB019	硬核 19·20推	10	10	##########/#####    #/######$$.#/##### @# #/##### $$ #/###### # #/#  ###   #/#  ..    #/##     . #/##########
SKB020	硬核 20·21推	10	10	##########/##########/##########/#####  ###/####  $###/####.  ###/#### .$###/#### . $ #/##    .$@#/##########
SKB021	硬核 21·21推	10	10	##########/##########/#   # ####/# $@ $ ###/#..    ###/#####$####/####  ####/#### .  ##/##   .$  #/##########
SKB022	硬核 22·21推	10	10	##########/##########/##########/##########/####@##  #/####$##$ #/#  $ $ . #/#  #  #  #/## ..   .#/##########
SKB023	硬核 23·22推	10	10	##########/# .  . $ #/#  $ .$.@#/###### $ #/######  ##/##########/##########/##########/##########/##########
SKB024	硬核 24·22推	10	10	##########/#  #######/#.$#######/#.  $  ###/#  #   ###/# .####.##/#   ###  #/# $### $@#/#        #/##########
SKB025	硬核 25·22推	10	10	##########/#  ##  ###/# ###$ ###/#  # ..###/# $ .   ##/#.$ #   ##/#  #######/#   $@####/#   ######/##########
SKB026	硬核 26·23推	10	10	##########/#@##     #/#. #. $  #/#  $$ ##.#/#     # .#/# #####  #/#    #####/#  $ #####/##  ######/##########
SKB027	硬核 27·23推	10	10	##########/#        #/# .  .$  #/#.##  .$ #/# ### #$ #/# ### #  #/#  #  ## #/#  # $####/# ###@####/##########
SKB028	硬核 28·25推	10	10	##########/###      #/#### $   #/####  #  #/#####. #.#/####  #  #/## $  #$ #/##@$  #..#/#####    #/##########
SKB029	硬核 29·25推	10	10	##########/#######@##/#######$ #/######  ##/#  ###$  #/# $     .#/#.$#     #/#  ##### #/#   .  . #/##########
SKB030	硬核 30·27推	10	10	##########/# .   ####/# $$. ####/#   ######/#   ######/# # ######/## $######/#@$.  ####/###.  ####/##########
SKB031	硬核 31·28推	10	10	##########/#..    $ #/#.  $    #/#.#####  #/#  #### ##/# $##  ###/#    $ ###/#   # @###/##########/##########
SKB032	硬核 32·30推	10	10	##########/####@.   #/####  $$ #/####### .#/#######$ #/#######  #/####### .#/### ###$.#/###      #/##########
SKB033	硬核 33·31推	10	10	##########/#  ..  .##/#   $  ###/# ### ####/#  #. ####/# ##$  ###/# # $$####/## @  ####/#   ######/##########
SKB034	硬核 34·31推	10	10	##########/# .   ####/#  .  ####/#. #######/#   # #  #/## $ .   #/##     $ #/#####$ $ #/#####@   #/##########
SKB035	硬核 35·36推	10	10	##########/#  @   ###/# $  #####/## $#### #/##  # ## #/##     $ #/## $ .   #/#######. #/####. .  #/##########
SKB036	硬核 36·37推	10	10	##########/#  .  ..##/# $ $   ##/# #### ###/#####   ##/#####    #/#@$    $ #/##  #   .#/##########/##########
