# id	difficulty	puzzle	solution
SDK001	轻松	5416.......3..1.69..8...1.53765..49...298.67..94.36.......6.7..639.2.58.217..5...	541698327723451869968273145376512498152984673894736251485369712639127584217845936
SDK002	轻松	63.......482.6..955..2..3.6.....9.433..6..95.8..432.619.1.2543.258......7...9.5.2	637951824482763195519248376176589243324617958895432761961825437258374619743196582
SDK003	轻松	.8.36219....78...6..2.4975..5...38.98....7.3.4..8..6.55.8.76.4.93.5...672..9..5..	785362194149785326362149758657423819891657432423891675518276943934518267276934581
SDK004	轻松	6491.2857.58..4..1.2....9..586.....2..75.8..4.9..7.6...7......9864.215...12357...	649132857758694321123785946586419732237568194491273685375846219864921573912357468
SDK005	轻松	..812..37.7.9...41.12..3.......49.12.8423...5.235...9..376.5....694.87...41...95.	698124537375986241412753869756849312984231675123567498237695184569418723841372956
SDK006	轻松	.6.2..7...4.9...5.285741...1..3.4....94526.8..2..7...9.1....6.54.7.5..2..598124.3	963285714741963258285741936178394562394526187526178349812437695437659821659812473
SDK007	轻松	......17..9....548584.1....6..2859..9....3.5...5.916374.91..2..716.284.....54.76.	362854179197632548584917326673285914941763852825491637459176283716328495238549761
SDK008	轻松	.52.4.97.3..9.72.5..9.5.8.48.1...4...6.13.5...7..621.3.2378165..876..3.........1.	652843971348917265719256834831579426264138597975462183423781659187695342596324718
SDK009	轻松	23596....4.8532.....9....32.2..7...9.4.32..75576..9.2..8.7.34...9..8..533..4...81	235967814418532967769814532823675149941328675576149328182753496694281753357496281
SDK010	轻松	.9.13.4784.8......2.37..69......53.13.167....52..138..7.632..8.1.4.67...9.2..1.5.	695132478478956213213784695867295341341678529529413867756329184184567932932841756
SDK011	轻松	.2.3.7.58.8.216.4.7..85..12..8.....7....814.646..3..8...6.782.12..4....5857.9...4	621347958985216743734859612198624537573981426462735189346578291219463875857192364
SDK012	轻松	59.8...3742.3.79........2...4.9.35..37925..1.65..48.939....2.7.26...1.5....539.4.	596824137428317965713695284841973526379256418652148793935462871264781359187539642
SDK013	轻松	3.2.87..48...4.923..62..7.8.58...2....437..8.7.3.1.64.....243..24.7.38..5.71....2	392587164875641923416239758158496237964372581723815649681924375249753816537168492
SDK014	轻松	.94.38..2.3....941.75...3..34..6.....6...9483..184...76..925.34.293.4.7..1..8..9.	194638752836572941275491368348267519762159483951843627687925134529314876413786295
SDK015	轻松	....3...4.8..9..6.941.5..28.9.564.7.2.....64.65..2..8..13649..27..18.4....9275.3.	576832914382491567941756328198564273237918645654327189813649752725183496469275831
SDK016	轻松	...4...27.5.276.9376..3.....356.........4..62.8..97...127....866487..9.559..6427.	319485627854276193762931548435628719971543862286197354127359486648712935593864271
SDK017	轻松	.8..31.47..2.86..1.392....6.2..586...961..75.8....3.2.2.3...86957.86......8.12..5	685931247742586931139247586421758693396124758857693124213475869574869312968312475
SDK018	轻松	96.47..8.8..26.7.4....3.6......2.....29.461.864.8.7.3..9.6528.7....9..26.5.78..13	962475381831269754574138692718923465329546178645817239193652847487391526256784913
SDK019	轻松	296.4..8..18.6.74.5743.19.2..39.86...6.13.8....27....183.6.2.1....4....8..1...27.	296547183318269745574381962143928657765134829982756431839672514627415398451893276
SDK020	轻松	.2...19..167.982.589.52.....5......8..18.6.9.6.8.5.7.1..92.5....1.68.4..7.6.4.152	425761983167398245893524617954172368271836594638459721349215876512687439786943152
SDK021	轻松	7...9.85...41.2.....68...72.78...56.2.156..4.6.3...9.1.4..8...91.9...28..276.9435	712396854584172396936854172478921563291563748653748921345287619169435287827619435
SDK022	轻松	.75...16.6..2578.434.6..5.7.127..6.8.5.46.....8.92..75.34...71..2......68.91.2...	275384169691257834348619527912735648753468291486921375534896712127543986869172453
SDK023	轻松	857...96.6....8214142.9..8.42....1..3.8.1..4.57.26....9.....3....4632.9.2..85.4.1	857421963639578214142396785426983157398715642571264839985147326714632598263859471
SDK024	轻松	485....2.6.2.45..19..3.24..56.47821.29..5....7.89.1.....4..98...5.7.4.....9.8.147	485197623632845971917362458563478219291653784748921536174239865856714392329586147
SDK025	轻松	4.1..2..8.9..8.1.6...1647...3..19.........29...2.7.46..2.653914.5...18.214.82.6.5	461792358297385146583164729634219587875436291912578463728653914356941872149827635
SDK026	轻松	.2....7..148.9..3...92..1...3.86.519......27.5.1.72.68..5628...9.4753.268.2....5.	623481795148597632759236184237864519486915273591372468375628941914753826862149357
SDK027	轻松	7.62.5.1.31..7.....52.3.7.6..5.4863...952..8..8..6.27..28394.....78..9.....756.2.	796285314314679852852431796275148639639527481481963275128394567567812943943756128
SDK028	轻松	75184.63262.....98.8..637.....3.....2..9.7.4..3.12657.9456...2.3.....95.....95..6	751849632623571498489263715597384261216957843834126579945638127368712954172495386
SDK029	轻松	.6.3...4.93.42156..4.6.5.374.9..6..5.8.....2..75294.81..3..87.6.1.....9..56...81.	568379142937421568142685937429816375681753429375294681293148756814567293756932814
SDK030	轻松	391..6...875.1324..427...9.95.1........5.931..13.67..92..6...81..9..27655.....4..	391426578875913246642758193958134627726589314413267859234675981189342765567891432
SDK031	轻松	32786.1.....3.7....65......5..1..67.7365..214.4273.9..6789.4...213..8........38.7	327865149491327586865491732589142673736589214142736958678954321213678495954213867
SDK032	轻松	.16937.5..3.4.821.85...27....3526...6......8.9.1384....6..9134....74..68347......	216937854739458216854612739483526971625179483971384625568291347192743568347865192
SDK033	进阶	.......3..9..65.7.5..7.4..9...5.9.......7...2674.2.953.....378....9....4346817..5	487291536192365478563784129821539647935476812674128953259643781718952364346817295
SDK034	进阶	496...........3.94.8...45...53.7.269.6...1.7.......3.1..1.3594.5..9..126....2.8..	496512783215783694387694512153478269962351478874269351621835947538947126749126835
SDK035	进阶	3......17..7..5...8.4791.5.786.2.43......37.6.35....91...3..1.8.78.5...3.......2.	352486917917235864864791352786129435291543786435678291529364178178952643643817529
SDK036	进阶	......982...8...5..2..76.......3....29..8754...8..1.2.93.7.861..8...5.9....9432.8	567314982341892756829576134415239867293687541678451329934728615782165493156943278
SDK037	进阶	8.........5..1..6.41...697.68179..5...5......79.2.....1.437.59.37..2....52...4.8.	836957421957412863412836975681793254245681739793245618164378592378529146529164387
SDK038	进阶	.16..9....4.7.526..8......4....6..2..6..34.97..2...1.6.5.12...9..14.7.85...85.3..	216349578943785261587612934879561423165234897432978156658123749321497685794856312
SDK039	进阶	.7.5......139745..8.......798.26.......1.379.3417......36.9....75..3...9..4...62.	479528361613974582825316947987265134562143798341789256236491875758632419194857623
SDK040	进阶	...1...43..9.4.....3..85.7..9..3....367....19..4...7.6.43892.6..71.53...9...61...	825179643719346582436285971198637425367524819254918736543892167671453298982761354
SDK041	进阶	49..5..677..3...1..2.6..93.86....1.........7...742.65..7..14....5.....911.9...783	493152867786349215521678934865793142214586379937421658378914526652837491149265783
SDK042	进阶	.65..4..2..39..4..84...1.5...8.2.7.6.7..8....1...9.3.4..4.1.8.7...3.2..5.9.7...43	965874132213956478847231659438125796679483521152697384324519867786342915591768243
SDK043	进阶	.75.64..9..872.6..........7.8.5.6..47...139281.....7....1.4....82.6.1.9..39.8....	275164389398725641614938257982576134756413928143892765561349872827651493439287516
SDK044	进阶	..1.47..3..3..2.........2918.6...917.97..45..35........14.683.9.8.......239.71...	921847653563192748478356291846235917197684532352719486714568329685923174239471865
SDK045	进阶	.94.5....8...3.1....3..987..5..8..4..3....95164..1..3..8937.......4...89...5..327	194857263875236194263149875951783642738624951642915738589372416327461589416598327
SDK046	进阶	...5.7436.6...9...7.5.6...26...8.19.........3..97..248.4..95...5.21....4.71..8.2.	928517436463829751715364982637482195284951673159736248846295317592173864371648529
SDK047	进阶	...1.5.......6..9...638.15....4...1....671...6.7.9.43.96........41926.8.58..149..	398145276154267398276389154829453617435671829617892435962538741741926583583714962
SDK048	进阶	..9.17....3849.72.271..3..9...9..5.3.....54.....86..976.......47153....2.....9.7.	469217358538496721271583649846972513927135486153864297692751834715348962384629175
SDK049	进阶	..4....26.......31629...7.53....8....7.19354..4.67........5.36...3.1.2.77.2..9.1.	134785926587926431629431785391548672276193548845672193418257369963814257752369814
SDK050	进阶	.4.7.936..97..25..6...8...9......1454.....82..3.1..6.7.8....2.6....7.43.7.2.38...	845719362197362584623584719976823145451697823238145697384951276519276438762438951
SDK051	进阶	.....48..6...2.7...28937..6412.....78....5...7..4...98.......4..7.5419..5..2..673	937654821654128739128937456412893567893765214765412398289376145376541982541289673
SDK052	进阶	.....7.537..536......1..7.8.....8...8.162....36..5.87.59684......796....1...72.9.	419287653728536419653194728945718362871623945362459871596841237237965184184372596
SDK053	进阶	62.4985.1..8....6...526..9........2..5....6...37.4.9.5..1682..........86.6295..3.	623498571948175362715263894486519723159327648237846915371682459594731286862954137
SDK054	进阶	3....49.1.47.....62913..4.7.3..58.7........1.72419.........1693.........4.2...758	356874921847219536291365487139658274685742319724193865578421693963587142412936758
SDK055	进阶	1.6..2.49.4.6..2.72..9.5.3...38......5431.6....8..7.1....5....187.....6.....638.5	136782549549631287287945136913826754754319628628457913362578491875194362491263875
SDK056	进阶	..9..5.18.568....2.1..94.5.4.8.....1...1.6....634.72.59..65...........89.31.4...6	249365718356871942817294653478529361592136874163487295984652137625713489731948526
SDK057	进阶	..486.7..8.67.52........8.14.36.2.....1....3..8543..1.5.....1...4..863...9..2..86	234861795816795243759243861473612958621958437985437612568379124142586379397124586
SDK058	进阶	97..26.8..85..4.12.1.8.5.79...34....6.7..1.3....9.7...1.95...4...24..9......1...8	974126583385794612216835479521348796697251834438967125169582347852473961743619258
SDK059	进阶	.5.791.3.3.......7..16..4..1.5.27...2973........8......29.538.171...93.4.43......	854791236362584197971632485185927643297346518436815729629453871718269354543178962
SDK060	进阶	2.....6.57.8.61....5.....79874.9...2....53.8..2.7........3.5.48.....47.6.826..15.	243987615798561324156432879874196532619253487325748961967315248531824796482679153
SDK061	进阶	8...7.21.6....9.3.....21.98.78.52.......8..21.2.96....2.....9..4.....352.8.23.16.	894573216612849735537621498378152649946387521125964873253416987461798352789235164
SDK062	进阶	...3.8..55...4.8...9.5..7......3.....3..524.68...14.3..852...74..3.8.1..2..47.58.	147398625526147893398526741614739258739852416852614937985261374473985162261473589
SDK063	进阶	2.7.51..4..6...85.8.5..4...6..7.8.49....32..878.....3..59.2....378...4.646.......	237851964946273851815964273623718549594632718781549632159426387378195426462387195
